[鍵],[值]
"生","1"
"注","1"
"美","1"
"歧","1"
"？","1"
"分","2"
"氣","3"
"組","1"
"卻","1"
"靠","1"
"法","2"
"關","1"
"的","1"
"菲","1"
"率","1"
"，","6"
"歐","1"
"侵","1"
"表","1"
"在","1"
"析","1"
"中","1"
"近","2"
"賓","1"
"邊","1"
"持","1"
"根","1"
"旺","1"
"國","2"
"颱","4"
"同","1"
"局","2"
"東","1"
"灣","3"
"續","1"
"不","2"
"夾","1"
"風","3"
"各","1"
"機","1"
"日","2"
"就","1"
"看","2"
"央","1"
"沒","1"
"系","1"
"台","4"
"示","1"
"成","2"
"流","1"
"過","1"
"式","2"
"態","1"
"目","1"
"洲","1"
"。","1"
"、","2"
"都","1"
"和","1"
"織","1"
"前","1"
"盛","1"
"9","1"
"低","1"
"西","1"
"本","2"
"末","2"
"1","1"
"但","1"
"0","1"
"模","2"
",","3"
"襲","2"
"雙","1"
"據","1"
"象","2"
"跟","1"
"統","1"
"周","2"
"兩","1"
"號","2"
"有","4"
"擊","1"
"會","5"
"後","1"
"應","1"
"律","1"
"壓","1"
"動","1"
